run_accession	cultivar	organism_part
ERR3791724	Oh43	tip
ERR3791727	Oh7b	tip
ERR3791729	P39	tip
ERR3791730	Tx303	tip
ERR3791733	Tzi8	tip
ERR3791735	CML277	root
ERR3791738	CML228	root
ERR3791739	CML247	root
ERR3791742	CML322	root
ERR3791745	CML52	root
ERR3791748	CML69	root
ERR3791752	IL14H	root
ERR3791755	Ki3	root
ERR3791765	Mo18w	root
ERR3791766	Ms71	root
ERR3791768	NC350	root
ERR3791770	NC358	root
ERR3791772	Oh43	root
ERR3791774	Oh7b	root
ERR3791776	P39	root
ERR3791779	Tx303	root
ERR3791782	B97	root
ERR3791787	CML277	shoot
ERR3791788	CML228	shoot
ERR3791792	CML322	shoot
ERR3791796	CML52	shoot
ERR3791799	CML69	shoot
ERR3791803	IL14H	shoot
ERR3791806	Ki3	shoot
ERR3791807	Ky21	shoot
ERR3791810	M162W	shoot
ERR3791816	Ms71	shoot
ERR3791819	NC358	shoot
ERR3791822	Oh43	shoot
ERR3791823	Oh7b	shoot
ERR3791829	Tzi8	shoot
ERR3791831	B97	shoot
ERR3791838	CML277	tassel
ERR3791841	CML228	tassel
ERR3791843	CML247	tassel
ERR3791846	CML333	tassel
ERR3791855	Ki11	tassel
ERR3791858	Ki3	tassel
ERR3791859	Ky21	tassel
ERR3791861	M162W	tassel
ERR3791863	M37W	tassel
ERR3791865	Mo18w	tassel
ERR3791868	Ms71	tassel
ERR3791870	NC350	tassel
ERR3791873	Oh43	tassel
ERR3791876	Oh7b	tassel
ERR3791879	Tx303	tassel
ERR3791418	CML52	anther
ERR3791419	CML69	anther
ERR3791421	HP301	anther
ERR3791423	IL14H	anther
ERR3791425	Ki11	anther
ERR3791431	M162W	anther
ERR3791436	Mo18w	anther
ERR3791439	NC350	anther
ERR3791446	Oh7b	anther
ERR3791449	Tx303	anther
ERR3791451	Tzi8	anther
ERR3791462	CML247	ear
ERR3791463	CML322	ear
ERR3791465	CML333	ear
ERR3791468	CML52	ear
ERR3791469	CML69	ear
ERR3791480	Ky21	ear
ERR3791483	M37W	ear
ERR3791489	NC350	ear
ERR3791494	Oh7b	ear
ERR3791498	Tx303	ear
ERR3791503	B97	embryo
ERR3791515	Ky21	embryo
ERR3791533	P39	embryo
ERR3791539	B97	endosperm
ERR3791541	CML103	endosperm
ERR3791544	CML247	endosperm
ERR3791546	CML322	endosperm
ERR3791548	CML333	endosperm
ERR3791551	HP301	endosperm
ERR3791556	Ki3	endosperm
ERR3791568	Ms71	endosperm
ERR3791569	NC350	endosperm
ERR3791576	P39	endosperm
ERR3791582	B97	base
ERR3791600	HP301	base
ERR3791610	M162W	base
ERR3791612	M37W	base
ERR3791621	NC358	base
ERR3791626	Oh7b	base
ERR3791628	P39	base
ERR3791634	B97	middle
ERR3791637	CML103	middle
ERR3791641	CML228	middle
ERR3791642	CML247	middle
ERR3791648	CML52	middle
ERR3791650	CML69	middle
ERR3791664	M37W	middle
ERR3791669	Ms71	middle
ERR3791676	Oh7b	middle
ERR3791677	P39	middle
ERR3791679	Tx303	middle
ERR3791682	Tzi8	middle
ERR3791687	CML103	tip
